word,coefficient_for_bad_review
excellent,-2.7315988532585167
perfect,-2.727284818472114
love,-2.3101346429021072
great,-2.0351935998617883
easy,-1.844262437911393
best,-1.8097988963467722
nice,-1.337886665949252
works,-1.2965908987168768
needed,-1.1354993045439739
good,-1.02057572382384
well,-0.8970749452728349
little,-0.8021445596423957
far,-0.794525091695988
price,-0.7423360623961872
need,-0.7034922273107288
our,-0.6994945045645942
years,-0.512288859460979
lot,-0.4631266328633212
without,-0.45694625287348206
long,-0.39447957238980824
some,-0.39362631413375226
using,-0.35804051865618214
old,-0.3143575240571607
guitar,-0.2901078267916725
ive,-0.28829415740640646
much,-0.2708504609934285
find,-0.2557369531992628
set,-0.24869835887127104
go,-0.22221687890845568
how,-0.2187794801869111
right,-0.20180664430224993
recommend,-0.19883146609850594
more,-0.19053154866894975
new,-0.18685374720269032
make,-0.17414853532530636
want,-0.16997111279400828
put,-0.16400047862676856
these,-0.15972127570460037
than,-0.15858268726177974
used,-0.13778987071931464
like,-0.1309474621210678
case,-0.1215248974465854
other,-0.11654938253109919
am,-0.1014271992741681
im,-0.09714867578407836
into,-0.09710592472452477
about,-0.050173723108062306
still,-0.04472505419328266
use,-0.03782968344111973
been,-0.0039076396338987
better,0.0016906068755510194
any,0.007029724413558531
thing,0.01725026867141227
worked,0.02620188951454804
what,0.028369952723421077
size,0.0349662060455738
by,0.05207973055167304
few,0.06919585004852886
sound,0.07066968039197312
up,0.08911036403237131
small,0.09521111941902488
which,0.09850899782484235
fit,0.10731062806353849
time,0.10915335370109451
bought,0.10969978867575618
came,0.12280091080401456
water,0.1232277706824849
now,0.12969085791011073
over,0.13941748442778484
kindle,0.14198111204956249
before,0.14384771525096224
there,0.1989663098124529
because,0.20567470745045055
again,0.21376400189738287
first,0.25060607137672924
way,0.2722565045235243
only,0.28594946012913897
product,0.31287326873874777
does,0.3355685574839588
made,0.33828719190631956
quality,0.35537704111794827
out,0.35784002022326566
cant,0.4142641893343345
do,0.42947135767665434
no,0.4566204368365189
then,0.4869110322795101
amazon,0.5676422096320382
buy,0.6120775870848394
back,0.6811983035039915
did,0.7162781258528247
off,0.7233963750771615
even,0.7521094857925451
work,0.7555402784890477
too,0.8044769333038043
after,0.8590177431673809
dont,0.8683859821472203
didnt,0.9039683943246839
doesnt,1.1154168031192826
one,1.1781809586045155
two,1.4457567075859936
